"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1387243_at",1.47333124074074,13.0395116805556,19.6845320503151,9.52835577695764e-22,2.96322336307606e-17,29.1986671371746
"1370613_s_at",0.651210944444445,12.6798757916667,9.97430014742551,3.03566661851385e-12,4.72030980845811e-08,15.3799058905557
"1370269_at",3.05485801851851,5.79721298611111,8.93387003266928,6.09966907310244e-11,6.32312028348042e-07,13.0741721231816
"1387901_at",-0.458751574074076,8.62388034722222,-7.23834608821571,1.06358381579863e-08,8.26909827188042e-05,8.93473423339456
"1387759_s_at",0.725668222222221,11.8389672222222,7.08007614691656,1.74637587769425e-08,0.000108621086840827,8.52696015929561
"1387511_at",0.569969574074074,11.0802782083333,6.91711551099999,2.91549525984398e-08,0.00015111497847648,8.10390221217148
"1384544_at",0.412631462962961,11.7175185694444,6.61403826801624,7.59587052981083e-08,0.000337462825152267,7.30920031167
"1368047_at",-1.18775019259259,7.95765642222222,-6.39086190558073,1.54198519340899e-07,0.000599427469122828,6.71821699218738
"1383325_at",0.38381364074074,5.94007774722222,6.35216008851533,1.74377399686233e-07,0.000602551416982464,6.61529328156707
"1372297_at",0.477201444444446,11.0473969166667,6.16309159830899,3.1818463757493e-07,0.000989522404394276,6.11084570907065
"1394494_at",-0.449580466666669,8.13013723888889,-6.12240403157027,3.62186547176566e-07,0.00102396722096764,6.0019642846758
"1367856_at",1.07497424444444,8.95703842777778,6.07442981553349,4.21962605116804e-07,0.00109355125471062,5.87345140446948
"1387811_at",-0.337860370370371,11.6838158888889,-5.69697827226973,1.40393377800483e-06,0.00335853358170555,4.85841250833183
"1389177_at",0.476681351851851,9.00615365277778,5.24473527548976,5.90228073716437e-06,0.0125329636046138,3.63831190441644
"1383686_at",0.305705137037036,6.92639071388889,5.23718210881916,6.04503212544475e-06,0.0125329636046138,3.61794921268223
"1386981_at",-0.465916740740741,10.6779508888889,-5.14021237779561,8.21278745833031e-06,0.0159630923229134,3.35668100680167
"1388130_at",-0.369789807407408,7.41481258888889,-5.11530179195902,8.88446816445281e-06,0.0162528279674305,3.28961801203588
"1374653_at",-0.287533174074074,7.54601558055556,-5.08886774180416,9.65687435998386e-06,0.0166843964289521,3.21848214858377
"1368130_at",0.574926807407406,4.47051203888889,5.04445797838877,1.11071993087153e-05,0.0181801469106178,3.09904501289205
"1373778_at",0.691059814814814,7.85508546111111,4.98530399142654,1.33791670208336e-05,0.0208039357590452,2.9401131242554
"1370371_a_at",0.572648140740742,8.09385422777778,4.93830428813633,1.55075587823387e-05,0.0229652176462835,2.81398288725328
"1382907_at",-0.752361277777778,7.33252588055556,-4.80108084282228,2.38318272263438e-05,0.0336884543141848,2.44660653671557
"1370488_a_at",-0.579100311111111,5.49872546666667,-4.77619335403293,2.5757421218541e-05,0.0348273931511046,2.3801380672378
"1383066_at",0.339006407407406,4.82505402777778,4.74619555800778,2.82834677316799e-05,0.0366494817911464,2.30009438479618
"1371646_at",0.499539537037036,9.85162934722222,4.72061079203643,3.06299836891382e-05,0.0379079141623708,2.23189210147102
"1369177_at",0.402522477777777,6.73518966388889,4.70965575517231,3.16925228535207e-05,0.0379079141623708,2.20270809094549
"1370363_at",-0.461950388888888,11.9080316805556,-4.69220831381568,3.34602929548546e-05,0.0385400611334454,2.15625293565845
"1395411_at",0.374591448148146,7.68565444722222,4.6711388572183,3.57250397557602e-05,0.0396790361201566,2.10019501637909
"1370040_at",0.209844477777777,6.72132583055556,4.6538906320942,3.76909956837612e-05,0.0404190439575617,2.05433839179064
"1371381_at",0.24634883333333,11.9648014861111,4.62696968377019,4.09744710570988e-05,0.0423895582619689,1.98282951799655
"1386953_at",-0.27980625925926,12.7898445833333,-4.61037989731157,4.31365756811471e-05,0.0423895582619689,1.93880277078069
"1383136_a_at",0.276964974074073,5.37913764722222,4.60680002270816,4.36176682331587e-05,0.0423895582619689,1.92930641598516
"1383075_at",-0.661827437037038,8.48702326666667,-4.54676278375082,5.25195114659295e-05,0.0494940693054225,1.77026925824226
